1/time,pressure,x-axis,y-axis,x-angle,y-angle,class
16179.1303,26257.25407,627.0611054,1086.187844,131.8122879,529.8354617,0
9177.967424,29274.87935,456.223075,1088.701627,156.1072479,633.3308045,0
17507.63843,22055.07532,661.2496497,1061.830903,151.5390644,593.5554353,0
15398.70299,21016.42718,704.1519732,1029.172084,173.9180241,422.8603575,0
6809.975119,27764.5538,665.8533273,1041.202924,167.0511635,504.5429517,0
14834.30363,21284.86352,530.7360264,1137.705796,141.2999056,493.2861834,0
16726.62634,25883.82493,688.8777463,1055.345472,129.7556338,597.7893469,0
10326.98062,24481.44971,690.0109184,1069.217794,147.9902789,559.7685695,0
9609.55009,29459.24453,802.1351836,1074.980362,113.6412203,684.4949982,0
7771.565807,27950.77937,659.0646698,1087.871351,143.499929,591.2714185,0
11240.2903,23916.26575,615.058511,1140.124376,72.48662908,683.3072961,1
17434.79611,26454.77136,585.2528069,1163.309574,59.00796787,602.3850614,1
8650.619723,23439.69885,582.8883333,1110.67605,95.93893411,668.1950161,1
6736.37427,22780.64838,725.6029935,1073.877174,88.69145963,651.1141556,1
7205.291697,24749.14182,458.6046623,1087.440344,119.2909142,614.6090585,1
8472.891495,26568.17093,527.8451688,929.7242255,152.1233861,570.3185778,1
5943.068202,23883.5131,645.8129399,949.1845352,108.861912,551.510106,1
15563.32953,22946.46563,599.937989,1104.160386,83.41726257,536.3292651,1
6470.810928,19209.41168,442.4229286,1045.575576,133.6007243,626.1135266,1
16017.43712,23247.35927,669.8833762,1121.361373,121.7119753,536.7546977,1
6918.005927,20109.42448,694.5325346,1077.00736,107.197316,500.1564721,1
14823.79378,28287.96952,574.9895669,1167.992283,60.96618833,554.4539532,1
8130.378971,23345.13682,656.8286249,1051.143853,105.0791771,676.4475381,1
